ArticleViolated,Authority,Country,Date,Fine,Org_fined,Type,Country_code,Fines_applied,GDP_pc_2019,GDP_2019
Art. 31 GDPR,Data Protection Commission of Bulgaria (KZLD),BULGARIA,2019-10-07,511,BD,Lack of cooperation with Data Protection Authority,3,1,6800,81701
Art. 6 GDPR,Data Protection Authority of Mecklenburg-Vorpommern,GERMANY,2019-08-06,800,Police Officer,Non-compliance with lawful basis for data processing,9,1,35980,4951894
Art. 6 GDPR,Data Protection Authority of Saarland,GERMANY,2019-01-01,118,Unknown,Non-compliance with lawful basis for data processing,9,1,35980,4951894
Art. 5 GDPR,Data Protection Authority of Niedersachsen,GERMANY,2019-12-02,294000,Unknown,Failure to comply with data processing principles,9,1,35980,4951894
Art. 32 GDPR,Cypriot Data Protection Commissioner,CYPRUS,2020-01-13,9000,Government agency,Failure to implement sufficient measures to ensure information security,5,1,24250,31311
Art. 6 GDPR,Cypriot Data Protection Commissioner,CYPRUS,2020-01-13,1000,M.L. Pro.Fit Solutions LTD,Non-compliance with lawful basis for data processing,5,1,24250,31311
"Art. 6 GDPR, Art. 9 GDPR",Cypriot Data Protection Commissioner,CYPRUS,2019-10-25,70000,LGS Handling Ltd,Non-compliance with lawful basis for data processing,5,2,24250,31311
"Art. 6 GDPR, Art. 9 GDPR",Cypriot Data Protection Commissioner,CYPRUS,2019-10-25,10000,Louis Travel Ltd,Non-compliance with lawful basis for data processing,5,2,24250,31311
"Art. 6 GDPR, Art. 9 GDPR",Cypriot Data Protection Commissioner,CYPRUS,2019-10-25,2000,Louis Aviation Ltd,Non-compliance with lawful basis for data processing,5,2,24250,31311
"Art. 5 (1) a), (2) GDPR",Hellenic Data Protection Authority (HDPA),GREECE,2020-01-13,15000,Allseas Marine S.A.,Non-compliance with lawful basis for data processing,10,2,18150,273498
"Art. 5 GDPR, Art. 6 GDPR, Art. 17 GDPR, Art. 21 GDPR",Italian Data Protection Authority (Garante),ITALY,2020-01-17,8500000,Eni Gas e Luce,Non-compliance with lawful basis for data processing,13,4,26860,2613998
"Art. 5 GDPR, Art. 6 GDPR",Italian Data Protection Authority (Garante),ITALY,2020-01-17,3000000,Eni Gas e Luce,Non-compliance with lawful basis for data processing,13,2,26860,2613998
"Art. 5 GDPR, Art. 6 GDPR, Art. 7 GDPR, Art. 21 GDPR",Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2020-01-14,6000,SC Enel Energie S.A.,Non-compliance with lawful basis for data processing,21,4,9130,300494
"Art. 5 (1) GDPR, Art. 6 GDPR, Art. 7 GDPR",Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-12-13,5000,Entirely Shipping & Trading S.R.L.,Non-compliance with lawful basis for data processing,21,3,9130,300494
"Art. 5 (1) GDPR, Art. 6 GDPR, Art. 7 GDPR, Art. 9 GDPR",Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-12-13,5000,Entirely Shipping & Trading S.R.L.,Non-compliance with lawful basis for data processing,21,4,9130,300494
"Art. 5 GDPR, Art. 25 GDPR, Art. 32 GDPR, Art. 33 GDPR",Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2019-12-10,14000,Hora Credit IFN SA,Non-compliance with lawful basis for data processing,21,4,9130,300494
Art. 58 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-01-09,3000,Vodafone Espana,Non-cooperation with Data Protection Authority,23,1,25170,1780046
Art. 5 (1) f) GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-01-07,44000,Vodafone Espana,Failure to comply with data processing principles,23,1,25170,1780046
Art. 6 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-01-07,75000,EDP EspaÄ‚â€žĂ˘â‚¬ĹˇÄ‚â€šĂ‚Â±a S.A.U.,Non-compliance with lawful basis for data processing,23,1,25170,1780046
Art. 6 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-01-07,75000,"EDP Comercializadora, S.A.U.",Non-compliance with lawful basis for data processing,23,1,25170,1780046
Art. 6 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-01-07,10000,AsociaciÄ‚â€žĂ˘â‚¬ĹˇĂ„Ä…Ă˘â‚¬Ĺˇn de MÄ‚â€žĂ˘â‚¬ĹˇÄ‚â€šĂ‚Â©dicos DemÄ‚â€žĂ˘â‚¬ĹˇĂ„Ä…Ă˘â‚¬Ĺˇcratas,Non-compliance with lawful basis for data processing,23,1,25170,1780046
Art. 58(2) GDPR,Italian Data Protection Authority (Garante),ITALY,2020-02-01,27802946,TIM - Telecom Provider,Non-cooperation with Data Protection Authority,13,1,26860,2613998
"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2020-02-03,60000,Xfera Moviles S.A.,Non-compliance with lawful basis for data processing,23,2,25170,1780046
"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2020-02-03,75000,"Vodafone EspaÄ‚â€žĂ˘â‚¬ĹˇÄ‚â€šĂ‚Â±a, S.A.U.",Non-compliance with lawful basis for data processing,23,2,25170,1780046
"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2020-02-03,60000,"Vodafone EspaÄ‚â€žĂ˘â‚¬ĹˇÄ‚â€šĂ‚Â±a, S.A.U.",Non-compliance with lawful basis for data processing,23,2,25170,1780046
Art. 5 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-02-03,50000,"Vodafone EspaÄ‚â€žĂ˘â‚¬ĹˇÄ‚â€šĂ‚Â±a, S.A.U.",Non-compliance with lawful basis for data processing,23,1,25170,1780046
"Art. 5 GDPR, Art. 6 GDPR, Art. 21 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2020-02-03,20000,Iberia Lineas Aereas,Non-compliance with lawful basis for data processing,23,3,25170,1780046
"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2020-02-03,75000,"Vodafone EspaÄ‚â€žĂ˘â‚¬ĹˇÄ‚â€šĂ‚Â±a, S.A.U.",Non-compliance with lawful basis for data processing,23,2,25170,1780046
"Art. 5 GDPR, Art. 6 GDPR, Art. 21 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2020-02-03,6670,Banco Bilbao,Non-compliance with lawful basis for data processing,23,3,25170,1780046
"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2020-02-03,5000,Queseria Artesenal Ameco S.L.,Non-compliance with lawful basis for data processing,23,2,25170,1780046
"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2020-02-03,800,Private person,Non-compliance with lawful basis for data processing,23,2,25170,1780046
"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2020-02-04,1500,CafeterÄ‚â€žĂ˘â‚¬ĹˇÄ‚â€šĂ‚Â­a Nagasaki,Non-compliance with lawful basis for data processing,23,2,25170,1780046
"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2020-01-14,3600,"Zhang Bordeta 2006, S.L.",Non-compliance with lawful basis for data processing,23,2,25170,1780046
"Art. 5 GDPR, Art. 6 GDPR",Italian Data Protection Authority (Garante),ITALY,2020-01-15,10000,Francavilla Fontana,Non-compliance with lawful basis for data processing,13,2,26860,2613998
Art. 37 GDPR,Data Protection Authority of Hamburg,GERMANY,2019-01-01,51000,Facebook,Failure to appoint a data protection officer,9,1,35980,4951894
Art. 32 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-02-28,48000,Vodafone ONO,Failure to implement sufficient measures to ensure information security,23,1,25170,1780046
Art. 5 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-02-27,120000,Vodafone EspaÄ‚â€žĂ˘â‚¬ĹˇÄ‚â€šĂ‚Â±a,Non-compliance with lawful basis for data processing,23,1,25170,1780046
"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2020-02-25,48000,HM Hospitales,Non-compliance with lawful basis for data processing,23,2,25170,1780046
Art. 13 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-02-18,1500,Mymoviles Europa 2000,Insufficient fulfilment of information obligations,23,1,25170,1780046
Art. 5 (1) f) GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-02-14,2500,Grupo Valsor Y Losan,Non-compliance with lawful basis for data processing,23,1,25170,1780046
Art. 6 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-02-14,3000,Colegio Arenales Carabanchel,Non-compliance with lawful basis for data processing,23,1,25170,1780046
Art. 6 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-02-14,50000,Iberdrola Clientes,Non-compliance with lawful basis for data processing,23,1,25170,1780046
Art. 32 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-02-14,42000,Vodafone EspaÄ‚â€žĂ˘â‚¬ĹˇÄ‚â€šĂ‚Â±a,Failure to implement sufficient measures to ensure information security,23,1,25170,1780046
Art. 32 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-02-14,30000,Xfera Moviles S.A.,Failure to implement sufficient measures to ensure information security,23,1,25170,1780046
"Art. 5 GDPR, Art. 6 GDPR",Spanish Data Protection Authority (AEPD),SPAIN,2020-03-03,24000,Vodafone EspaÄ‚â€žĂ˘â‚¬ĹˇÄ‚â€šĂ‚Â±a,Non-compliance with lawful basis for data processing,23,2,25170,1780046
Art. 5 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-03-03,40000,Vodafone EspaÄ‚â€žĂ˘â‚¬ĹˇÄ‚â€šĂ‚Â±a,Non-compliance with lawful basis for data processing,23,1,25170,1780046
Art. 32 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-03-03,42000,Vodafone EspaÄ‚â€žĂ˘â‚¬ĹˇÄ‚â€šĂ‚Â±a,Failure to implement sufficient measures to ensure information security,23,1,25170,1780046
Art. 13 GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-03-03,1800,Solo Embrague,Insufficient fulfilment of information obligations,23,1,25170,1780046
"Art. 5 GDPR, Art. 6 GDPR",Dutch Supervisory Authority for Data Protection (AP),NETHERLANDS,2020-03-03,525000,Royal Dutch Tennis Assoc.,Non-compliance with lawful basis for data processing,17,2,42020,1146091
Art. 5 GDPR,Polish National Personal Data Protection Office (UODO),POLAND,2020-03-04,4600,School in Gdansk,Non-compliance with lawful basis for data processing,19,1,12980,734656
Art. 5 GDPR,Private person,SPAIN,2020-03-06,4000,Spanish Data Protection Authority (AEPD),Non-compliance with lawful basis for data processing,23,1,25170,1780046
"Art. 5 GDPR, Art. 6 GDPR",Italian Data Protection Authority (Garante),ITALY,2020-03-06,4000,Liceo Scientifico Nobel di Torre del Greco,Non-compliance with lawful basis for data processing,13,2,26860,2613998
"Art. 5 GDPR, Art. 6 GDPR",Italian Data Protection Authority (Garante),ITALY,2020-03-06,4000,Liceo Artistico Statale di Napoli,Non-compliance with lawful basis for data processing,13,2,26860,2613998
Art. 5 (1) f) GDPR,Spanish Data Protection Authority (AEPD),SPAIN,2020-03-09,15000,Gesthotel Activos Balagares,Non-compliance with lawful basis for data processing,23,1,25170,1780046
"Art. 5 (1) f) GDPR, Art. 32 GDPR",Icelandic Data Protection Authority ('PersÄ‚â€žĂ˘â‚¬ĹˇĂ„Ä…Ă˘â‚¬Ĺˇnuvernd'),ICELAND,2020-03-10,9000,BreiÄ‚â€žĂ˘â‚¬ĹˇÄ‚â€šĂ‚Â°holt School,Failure to implement sufficient measures to ensure information security,12,2,38840,32460
"Art. 5 (1) f) GDPR, Art. 32 GDPR",Icelandic Data Protection Authority ('PersÄ‚â€žĂ˘â‚¬ĹˇĂ„Ä…Ă˘â‚¬Ĺˇnuvernd'),ICELAND,2020-03-10,20600,Addiction Medicine Center,Failure to implement sufficient measures to ensure information security,12,2,38840,32460
"Art. 5 (1) f) GDPR, Art. 32 GDPR",Danish Data Protection Authority (Datatilsynet),DENMARK,2020-03-10,14000,Gladsaxe Municipality,Failure to implement sufficient measures to ensure information security,7,2,49190,446158
"Art. 5 (1) f) GDPR, Art. 32 GDPR",Danish Data Protection Authority (Datatilsynet),DENMARK,2020-03-10,7000,HÄ‚â€žĂ˘â‚¬ĹˇÄ‚â€šĂ‚Â¸rsholm Municipality,Failure to implement sufficient measures to ensure information security,7,2,49190,446158
"Art. 5 GDPR, Art. 6 GDPR, Art. 17 GDPR",Data Protection Authority of Sweden,SWEDEN,2020-03-11,7000000,Google,Failure to comply with data processing principles,24,3,43840,697553
"Art. 5 (1) f) GDPR, Art. 32 GDPR",Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2020-02-11,3000,Vodafone Romania,Failure to comply with data processing principles,21,2,9130,300494
"Art. 6 GDPR, Art. 21 GDPR",Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2020-03-25,3000,eMag - Dante International,Non-compliance with lawful basis for data processing,21,2,9130,300494
Art. 32 GDPR,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2020-03-25,4150,Vodafone Romania,Failure to implement sufficient measures to ensure information security,21,1,9130,300494
Art. 32 GDPR,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2020-03-25,3000,Enel Energie,Failure to implement sufficient measures to ensure information security,21,1,9130,300494
Art. 58 GDPR,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),ROMANIA,2020-03-25,2000,SOS Infertility Association,Non-cooperation with Data Protection Authority,21,1,9130,300494
"Art. 15 (1), (3) GDPR",Croatian Data Protection Authority (AZOP),CROATIA,2020-03-13,0,Bank (unknown),Information obligation non-compliance,4,2,12480,76482
Art. 5 (1) GDPR,Czech Data Protection Auhtority (UOOU),CZECH REPUBLIC,2019-03-21,10000,Unknown,Non-compliance with lawful basis for data processing,6,1,18000,307611
Art. 5 (1) c) GDPR,Data Protection Authority of Saarland,GERMANY,2019-01-01,2000,Restaurant,Failure to comply with data processing principles,9,1,35980,4951894
"Art. 33 GDPR, Art. 34 GDPR",Data Protection Authority of Hamburg,GERMANY,2019-01-01,20000,https://datenschutz-hamburg.de/assets/pdf/28._Taetigkeitsbericht_Datenschutz_2019_HmbBfDI.pdf,Failure to implement sufficient measures to ensure information security,9,2,35980,4951894
"Art. 5 GDPR, Art. 32 GDPR",Data Protection Authority of Baden-Wuerttemberg,GERMANY,2019-04-04,80000,Company in the financial sector,Failure to implement sufficient measures to ensure information security,9,2,35980,4951894
"Art. 5 GDPR, Art. 6 GDPR",Data Protection Authority of Nordrhein-Westfalen,GERMANY,2019-08-05,200,Private person (YouTube-Channel),Failure to comply with data processing principles,9,2,35980,4951894
"Art. 5 GDPR, Art. 32 GDPR",Data Protection Authority of Baden-Wuerttemberg,GERMANY,2019-10-24,100000,Food company,Failure to implement sufficient measures to ensure information security,9,2,35980,4951894
"Art. 5 GDPR, Art. 6 GDPR, Art. 32 GDPR",Hellenic Data Protection Authority (HDPA),GREECE,2019-12-19,150000,Aegean Marine Petroleum Network Inc.,Failure to comply with data processing principles,10,3,18150,273498
